,5 Minutes,Lane 1 Flow (Veh/5 Minutes),Lane 1 Speed (mph),Lane 2 Flow (Veh/5 Minutes),Lane 2 Speed (mph),Lane 3 Flow (Veh/5 Minutes),Lane 3 Speed (mph),Flow (Veh/5 Minutes),Speed (mph),# Lane Points,% Observed
0,2017-09-18 00:00:00,10,71.9,13,69.7,17,62.7,40,67.3,3,100
1,2017-09-18 00:05:00,4,71.9,10,69.8,6,62.8,20,68.1,3,100
2,2017-09-18 00:10:00,11,71.9,12,70.0,16,61.9,39,67.2,3,100
3,2017-09-18 00:15:00,5,71.9,13,69.6,5,62.0,23,68.4,3,100
4,2017-09-18 00:20:00,5,71.9,12,69.6,16,61.9,33,66.2,3,100
5,2017-09-18 00:25:00,3,71.9,14,70.1,13,62.4,30,66.9,3,100
6,2017-09-18 00:30:00,8,72.1,10,69.7,12,60.5,30,66.7,3,100
7,2017-09-18 00:35:00,3,72.0,11,69.8,11,61.0,25,66.2,3,100
8,2017-09-18 00:40:00,3,71.9,6,69.4,6,62.0,15,66.9,3,100
9,2017-09-18 00:45:00,5,71.9,11,69.7,12,61.3,28,66.5,3,100
10,2017-09-18 00:50:00,2,72.0,12,69.5,17,62.3,31,65.7,3,100
11,2017-09-18 00:55:00,6,71.9,8,69.1,8,62.7,22,67.5,3,100
12,2017-09-18 01:00:00,2,71.9,7,69.4,13,63.1,22,65.9,3,100
13,2017-09-18 01:05:00,2,71.9,10,69.6,12,63.2,24,66.6,3,100
14,2017-09-18 01:10:00,1,71.9,11,69.3,12,63.3,24,66.4,3,100
15,2017-09-18 01:15:00,2,71.8,4,69.4,11,62.0,17,64.9,3,100
16,2017-09-18 01:20:00,1,71.9,11,69.6,11,62.5,23,66.3,3,100
17,2017-09-18 01:25:00,2,72.0,8,69.6,4,62.8,14,68.0,3,100
18,2017-09-18 01:30:00,2,71.9,9,69.7,14,61.8,25,65.5,3,100
19,2017-09-18 01:35:00,4,71.9,14,69.7,9,62.1,27,67.5,3,100
20,2017-09-18 01:40:00,1,71.9,13,69.9,6,62.5,20,67.8,3,100
21,2017-09-18 01:45:00,1,71.9,7,69.9,7,62.6,15,66.6,3,100
22,2017-09-18 01:50:00,4,71.9,6,69.8,11,62.6,21,66.4,3,100
23,2017-09-18 01:55:00,2,72.0,9,70.0,9,62.4,20,66.8,3,100
24,2017-09-18 02:00:00,0,72.0,10,69.6,11,62.9,21,66.1,3,100
25,2017-09-18 02:05:00,3,72.0,6,69.5,7,63.1,16,67.2,3,100
26,2017-09-18 02:10:00,3,71.6,8,69.9,8,63.3,19,67.4,3,100
27,2017-09-18 02:15:00,3,71.7,6,69.8,12,63.3,21,66.4,3,100
28,2017-09-18 02:20:00,1,72.0,5,69.8,14,63.4,20,65.4,3,100
29,2017-09-18 02:25:00,3,71.9,7,69.5,9,63.4,19,67.0,3,100
30,2017-09-18 02:30:00,3,71.8,7,69.7,13,63.0,23,66.2,3,100
31,2017-09-18 02:35:00,2,71.8,6,69.6,9,63.0,17,66.4,3,100
32,2017-09-18 02:40:00,1,71.9,5,69.4,13,62.9,19,65.1,3,100
33,2017-09-18 02:45:00,2,71.9,3,69.7,15,63.4,20,65.2,3,100
34,2017-09-18 02:50:00,3,71.9,7,69.1,8,62.7,18,66.7,3,100
35,2017-09-18 02:55:00,0,71.9,9,67.6,21,61.2,30,63.1,3,100
36,2017-09-18 03:00:00,6,71.9,8,68.3,10,61.3,24,66.3,3,100
37,2017-09-18 03:05:00,4,71.9,6,68.8,4,62.1,14,67.8,3,100
38,2017-09-18 03:10:00,3,71.9,13,69.1,14,62.8,30,66.4,3,100
39,2017-09-18 03:15:00,5,71.7,15,69.0,13,60.6,33,66.1,3,100
40,2017-09-18 03:20:00,2,71.8,5,69.2,14,62.0,21,64.6,3,100
41,2017-09-18 03:25:00,0,71.8,8,69.3,18,61.8,26,64.1,3,100
42,2017-09-18 03:30:00,5,71.8,15,69.9,17,62.0,37,66.5,3,100
43,2017-09-18 03:35:00,2,71.8,8,70.0,11,61.9,21,65.9,3,100
44,2017-09-18 03:40:00,3,71.9,8,70.0,11,62.4,22,66.5,3,100
45,2017-09-18 03:45:00,6,71.9,10,69.0,15,60.6,31,65.5,3,100
46,2017-09-18 03:50:00,9,71.9,10,69.6,18,61.5,37,66.2,3,100
47,2017-09-18 03:55:00,6,71.8,8,70.2,17,62.4,31,66.2,3,100
48,2017-09-18 04:00:00,3,71.8,5,70.1,18,62.6,26,65.1,3,100
49,2017-09-18 04:05:00,5,71.8,15,69.6,17,60.7,37,65.8,3,100
50,2017-09-18 04:10:00,8,71.6,17,69.6,19,61.0,44,66.2,3,100
51,2017-09-18 04:15:00,5,71.7,23,70.4,17,60.5,45,66.8,3,100
52,2017-09-18 04:20:00,6,71.8,13,70.3,20,61.4,39,66.0,3,100
53,2017-09-18 04:25:00,5,71.8,19,68.8,25,63.0,49,66.1,3,100
54,2017-09-18 04:30:00,6,71.8,18,69.1,16,61.3,40,66.4,3,100
55,2017-09-18 04:35:00,10,71.8,24,70.4,25,61.7,59,67.0,3,100
56,2017-09-18 04:40:00,13,71.7,23,69.8,30,62.1,66,66.7,3,100
57,2017-09-18 04:45:00,12,71.8,25,70.2,17,62.8,54,68.2,3,100
58,2017-09-18 04:50:00,11,71.8,19,70.2,15,61.0,45,67.5,3,100
59,2017-09-18 04:55:00,15,71.7,20,69.9,19,61.9,54,67.6,3,100
60,2017-09-18 05:00:00,9,71.8,24,70.0,27,57.1,60,64.5,3,100
61,2017-09-18 05:05:00,21,72.0,28,70.5,25,56.1,74,66.1,3,100
62,2017-09-18 05:10:00,22,71.8,24,68.8,39,59.3,85,65.2,3,100
63,2017-09-18 05:15:00,22,71.7,22,69.7,19,59.2,63,67.2,3,100
64,2017-09-18 05:20:00,12,71.8,17,69.7,38,61.3,67,65.3,3,100
65,2017-09-18 05:25:00,25,71.6,35,69.1,38,59.1,98,65.9,3,100
66,2017-09-18 05:30:00,22,71.4,34,67.9,34,60.0,90,65.8,3,100
67,2017-09-18 05:35:00,29,71.5,36,66.7,42,57.1,107,64.2,3,100
68,2017-09-18 05:40:00,28,71.7,25,67.7,29,59.5,82,66.2,3,100
69,2017-09-18 05:45:00,36,71.3,36,65.7,33,57.4,105,65.0,3,100
70,2017-09-18 05:50:00,31,71.9,39,69.8,37,57.8,107,66.3,3,100
71,2017-09-18 05:55:00,27,71.4,38,71.4,33,59.3,98,67.3,3,100
72,2017-09-18 06:00:00,30,71.8,39,68.8,42,60.2,111,66.4,3,100
73,2017-09-18 06:05:00,24,71.8,39,68.3,26,56.5,89,65.8,3,100
74,2017-09-18 06:10:00,23,71.7,31,69.2,38,54.8,92,63.9,3,100
75,2017-09-18 06:15:00,35,71.9,41,69.4,38,52.7,114,64.6,3,100
76,2017-09-18 06:20:00,32,72.1,45,69.7,44,56.8,121,65.6,3,100
77,2017-09-18 06:25:00,21,71.9,42,71.6,36,57.3,99,66.5,3,100
78,2017-09-18 06:30:00,31,71.5,41,69.8,28,58.9,100,67.3,3,100
79,2017-09-18 06:35:00,41,71.2,35,68.2,36,58.2,112,66.1,3,100
80,2017-09-18 06:40:00,38,71.6,39,68.6,39,58.1,116,66.1,3,100
81,2017-09-18 06:45:00,56,72.5,49,69.5,46,62.6,151,68.5,3,100
82,2017-09-18 06:50:00,32,72.1,37,68.7,40,62.8,109,67.5,3,100
83,2017-09-18 06:55:00,41,72.4,41,67.6,28,56.7,110,66.6,3,100
84,2017-09-18 07:00:00,35,72.0,43,69.1,50,55.1,128,64.4,3,100
