,5 Minutes,Lane 1 Flow (Veh/5 Minutes),Lane 1 Speed (mph),Lane 2 Flow (Veh/5 Minutes),Lane 2 Speed (mph),Lane 3 Flow (Veh/5 Minutes),Lane 3 Speed (mph),Flow (Veh/5 Minutes),Speed (mph),# Lane Points,% Observed
0,2017-10-30 00:00:00,75,21.2,27,69.7,4,62.7,106,35.1,3,100
1,2017-10-30 00:05:00,79,19.9,18,70.8,2,62.7,99,30.0,3,100
2,2017-10-30 00:10:00,92,20.6,28,71.5,5,62.6,125,33.7,3,100
3,2017-10-30 00:15:00,94,21.8,21,69.7,4,62.8,119,31.6,3,100
4,2017-10-30 00:20:00,72,22.3,27,70.8,2,62.8,101,36.1,3,100
5,2017-10-30 00:25:00,62,20.0,17,70.5,8,62.8,87,33.8,3,100
6,2017-10-30 00:30:00,64,21.5,12,70.3,9,62.9,85,32.8,3,100
7,2017-10-30 00:35:00,76,23.9,19,70.0,2,62.7,97,33.7,3,100
8,2017-10-30 00:40:00,71,22.3,8,69.9,3,62.7,82,28.4,3,100
9,2017-10-30 00:45:00,63,22.4,24,68.2,4,62.7,91,36.3,3,100
10,2017-10-30 00:50:00,52,20.6,11,68.8,3,61.9,66,30.5,3,100
11,2017-10-30 00:55:00,88,19.7,15,68.9,2,62.2,105,27.5,3,100
12,2017-10-30 01:00:00,83,21.4,13,69.3,6,62.6,102,29.9,3,100
13,2017-10-30 01:05:00,61,17.6,10,69.5,8,61.4,79,28.6,3,100
14,2017-10-30 01:10:00,66,16.6,14,70.5,4,62.0,84,27.7,3,100
15,2017-10-30 01:15:00,80,21.5,12,70.3,2,62.3,94,28.6,3,100
16,2017-10-30 01:20:00,73,20.6,6,70.3,3,62.4,82,25.8,3,100
17,2017-10-30 01:25:00,64,18.1,4,70.1,1,62.6,69,21.8,3,100
18,2017-10-30 01:30:00,75,17.5,5,69.9,0,62.6,80,20.8,3,100
19,2017-10-30 01:35:00,59,18.8,7,69.8,2,62.6,68,25.3,3,100
20,2017-10-30 01:40:00,69,19.2,5,69.7,3,62.9,77,24.2,3,100
21,2017-10-30 01:45:00,55,19.1,4,69.9,5,62.8,64,25.7,3,100
22,2017-10-30 01:50:00,79,24.1,10,70.0,2,62.9,91,30.0,3,100
23,2017-10-30 01:55:00,71,19.6,5,70.1,2,62.7,78,23.9,3,100
24,2017-10-30 02:00:00,47,17.3,11,70.4,3,62.7,61,29.1,3,100
25,2017-10-30 02:05:00,59,15.2,8,70.5,3,62.5,70,23.5,3,100
26,2017-10-30 02:10:00,56,14.6,7,70.3,0,62.5,63,20.8,3,100
27,2017-10-30 02:15:00,87,16.4,9,69.9,2,62.6,98,22.3,3,100
28,2017-10-30 02:20:00,52,15.9,5,69.9,0,62.6,57,20.6,3,100
29,2017-10-30 02:25:00,68,16.1,7,69.9,3,62.3,78,22.7,3,100
30,2017-10-30 02:30:00,54,15.2,9,69.7,1,62.5,64,23.6,3,100
31,2017-10-30 02:35:00,68,16.7,8,69.1,0,62.5,76,22.2,3,100
32,2017-10-30 02:40:00,46,16.2,8,69.9,2,62.6,56,25.5,3,100
33,2017-10-30 02:45:00,78,18.2,8,68.3,6,62.2,92,25.4,3,100
34,2017-10-30 02:50:00,48,17.8,5,68.7,1,62.5,54,23.3,3,100
35,2017-10-30 02:55:00,82,17.6,6,68.9,1,62.6,89,21.6,3,100
36,2017-10-30 03:00:00,89,17.9,5,69.6,0,62.6,94,20.6,3,100
37,2017-10-30 03:05:00,68,17.8,4,69.7,2,62.6,74,21.8,3,100
38,2017-10-30 03:10:00,65,16.8,5,70.3,0,62.6,70,20.6,3,100
39,2017-10-30 03:15:00,52,13.6,7,69.9,1,61.9,60,21.0,3,100
40,2017-10-30 03:20:00,94,17.0,8,69.5,4,62.2,106,22.7,3,100
41,2017-10-30 03:25:00,67,17.9,4,69.6,1,62.6,72,21.4,3,100
42,2017-10-30 03:30:00,53,16.9,8,69.2,1,61.5,62,24.4,3,100
43,2017-10-30 03:35:00,94,18.6,7,69.7,3,62.2,104,23.3,3,100
44,2017-10-30 03:40:00,87,17.3,10,70.0,4,62.5,101,24.3,3,100
45,2017-10-30 03:45:00,79,17.6,5,69.3,2,62.8,86,21.7,3,100
46,2017-10-30 03:50:00,70,15.8,6,69.1,1,62.6,77,20.6,3,100
47,2017-10-30 03:55:00,88,18.3,13,69.4,0,62.6,101,24.9,3,100
48,2017-10-30 04:00:00,64,16.5,7,70.0,6,62.6,77,25.0,3,100
49,2017-10-30 04:05:00,59,15.1,12,66.8,0,62.6,71,23.8,3,100
50,2017-10-30 04:10:00,58,15.5,11,68.3,1,62.2,70,24.5,3,100
51,2017-10-30 04:15:00,87,17.4,7,68.5,1,62.5,95,21.6,3,100
52,2017-10-30 04:20:00,72,18.9,9,68.4,0,62.5,81,24.4,3,100
53,2017-10-30 04:25:00,61,16.0,9,68.4,2,62.8,72,23.9,3,100
54,2017-10-30 04:30:00,63,16.3,9,68.0,1,62.6,73,23.3,3,100
55,2017-10-30 04:35:00,83,17.0,8,67.4,2,62.7,93,22.3,3,100
56,2017-10-30 04:40:00,89,21.6,20,67.7,2,62.6,111,30.6,3,100
57,2017-10-30 04:45:00,70,20.0,20,68.9,0,62.6,90,30.9,3,100
58,2017-10-30 04:50:00,44,19.1,15,69.6,5,62.7,64,34.3,3,100
59,2017-10-30 04:55:00,74,19.6,26,69.8,1,62.7,101,32.9,3,100
60,2017-10-30 05:00:00,71,20.0,30,63.1,0,62.7,101,32.8,3,100
61,2017-10-30 05:05:00,74,21.1,20,66.6,5,62.7,99,32.4,3,100
62,2017-10-30 05:10:00,89,18.5,32,63.7,4,62.5,125,31.5,3,100
63,2017-10-30 05:15:00,88,16.9,28,71.2,3,62.6,119,30.8,3,100
64,2017-10-30 05:20:00,113,19.2,28,70.2,2,62.6,143,29.8,3,100
65,2017-10-30 05:25:00,91,17.9,33,69.9,5,62.9,129,32.9,3,100
66,2017-10-30 05:30:00,92,16.8,34,72.3,3,62.7,129,32.5,3,100
67,2017-10-30 05:35:00,78,17.7,30,72.0,4,62.4,112,33.8,3,100
68,2017-10-30 05:40:00,83,18.7,40,78.2,1,62.5,124,38.2,3,100
69,2017-10-30 05:45:00,116,21.0,38,73.6,3,62.5,157,34.5,3,100
70,2017-10-30 05:50:00,97,20.0,37,74.2,9,61.4,143,36.6,3,100
71,2017-10-30 05:55:00,83,18.8,34,71.5,4,62.0,121,35.0,3,100
72,2017-10-30 06:00:00,103,21.5,35,65.1,6,62.6,144,33.8,3,100
73,2017-10-30 06:05:00,78,19.2,33,65.1,5,62.7,116,34.1,3,100
74,2017-10-30 06:10:00,89,19.1,43,64.3,6,62.7,138,35.1,3,100
75,2017-10-30 06:15:00,106,20.1,43,62.1,7,62.9,156,33.6,3,100
76,2017-10-30 06:20:00,89,23.1,37,63.6,4,62.8,130,35.8,3,100
77,2017-10-30 06:25:00,87,24.6,54,64.5,5,62.9,146,40.7,3,100
78,2017-10-30 06:30:00,107,21.1,39,57.7,6,62.8,152,32.1,3,100
79,2017-10-30 06:35:00,86,21.5,49,61.5,11,62.7,146,38.0,3,100
80,2017-10-30 06:40:00,96,20.8,54,62.6,9,63.0,159,37.4,3,100
81,2017-10-30 06:45:00,106,21.8,57,60.5,10,62.9,173,36.9,3,100
82,2017-10-30 06:50:00,109,23.7,56,59.7,12,62.4,177,37.7,3,100
83,2017-10-30 06:55:00,98,20.2,63,58.4,9,62.5,170,36.6,3,100
84,2017-10-30 07:00:00,93,19.4,70,61.1,6,62.6,169,38.2,3,100
85,2017-10-30 07:05:00,102,19.6,65,56.3,18,60.8,185,36.5,3,100
86,2017-10-30 07:10:00,108,22.7,80,58.8,16,61.6,204,39.9,3,100
