5 Minutes,Lane 1 Flow (Veh/5 Minutes),Lane 1 Speed (mph),Lane 2 Flow (Veh/5 Minutes),Lane 2 Speed (mph),Lane 3 Flow (Veh/5 Minutes),Lane 3 Speed (mph),Flow (Veh/5 Minutes),Speed (mph),# Lane Points,% Observed
2/12/2018 0:00,6,71.90,15,69.70,4,62.70,25,69.10,3,100.00
2/12/2018 0:05,12,71.90,10,69.70,5,62.70,27,69.40,3,100.00
2/12/2018 0:10,17,71.90,16,69.70,4,62.70,37,70.00,3,100.00
2/12/2018 0:15,9,71.80,12,69.80,11,62.60,32,67.90,3,100.00
2/12/2018 0:20,4,71.90,10,69.40,6,62.50,20,67.80,3,100.00
2/12/2018 0:25,9,71.70,5,69.60,3,62.60,17,69.50,3,100.00
2/12/2018 0:30,9,71.90,13,69.20,7,62.60,29,68.40,3,100.00
2/12/2018 0:35,10,71.50,16,69.60,2,62.70,28,69.80,3,100.00
2/12/2018 0:40,10,71.70,7,69.90,0,62.70,17,71.00,3,100.00
2/12/2018 0:45,11,71.70,7,69.80,0,62.70,18,71.00,3,100.00
2/12/2018 0:50,7,71.50,6,69.70,0,62.70,13,70.70,3,100.00
2/12/2018 0:55,8,71.50,9,69.70,2,62.70,19,69.70,3,100.00
2/12/2018 1:00,7,71.70,9,69.80,3,62.80,19,69.40,3,100.00
2/12/2018 1:05,3,71.80,5,69.70,1,62.50,9,69.60,3,100.00
2/12/2018 1:10,12,71.80,9,70.00,6,62.70,27,69.20,3,100.00
2/12/2018 1:15,11,71.80,5,69.90,1,62.60,17,70.70,3,100.00
2/12/2018 1:20,7,71.90,4,69.70,0,62.60,11,71.10,3,100.00
2/12/2018 1:25,8,71.90,2,69.70,0,62.60,10,71.50,3,100.00
2/12/2018 1:30,4,71.80,12,69.60,2,62.70,18,69.30,3,100.00
2/12/2018 1:35,8,71.90,15,68.70,5,62.90,28,68.60,3,100.00
2/12/2018 1:40,6,72.00,3,69.20,1,62.80,10,70.20,3,100.00
2/12/2018 1:45,5,72.00,3,69.50,1,63.60,9,70.20,3,100.00
2/12/2018 1:50,8,72.00,6,69.50,0,63.60,14,70.90,3,100.00
2/12/2018 1:55,2,72.10,8,69.10,4,63.20,14,67.80,3,100.00
2/12/2018 2:00,9,72.30,7,69.40,2,63.00,18,70.10,3,100.00
2/12/2018 2:05,9,72.30,5,69.60,0,63.00,14,71.30,3,100.00
2/12/2018 2:10,5,72.20,5,69.70,1,62.90,11,70.20,3,100.00
2/12/2018 2:15,1,72.10,5,69.70,0,62.90,6,70.10,3,100.00
2/12/2018 2:20,5,72.20,8,69.80,1,62.90,14,70.20,3,100.00
2/12/2018 2:25,5,71.50,5,69.70,2,62.70,12,69.30,3,100.00
2/12/2018 2:30,5,71.50,9,69.40,3,62.60,17,68.80,3,100.00
2/12/2018 2:35,3,71.70,5,69.50,7,62.80,15,66.80,3,100.00
2/12/2018 2:40,4,70.60,11,69.60,6,62.90,21,67.90,3,100.00
2/12/2018 2:45,10,71.50,16,69.80,3,62.90,29,69.70,3,100.00
2/12/2018 2:50,10,71.90,12,69.80,3,62.90,25,69.80,3,100.00
2/12/2018 2:55,8,71.40,8,70.00,3,62.80,19,69.50,3,100.00
2/12/2018 3:00,2,71.70,8,69.80,6,62.70,16,67.40,3,100.00
2/12/2018 3:05,4,71.90,14,69.80,9,62.70,27,67.70,3,100.00
2/12/2018 3:10,6,72.00,4,69.80,6,62.60,16,67.90,3,100.00
2/12/2018 3:15,7,72.00,6,69.60,4,62.70,17,69.00,3,100.00
2/12/2018 3:20,9,71.60,9,69.40,6,62.70,24,68.60,3,100.00
2/12/2018 3:25,9,71.70,11,69.60,4,62.70,24,69.20,3,100.00
2/12/2018 3:30,6,71.40,15,69.90,13,62.70,34,67.40,3,100.00
2/12/2018 3:35,17,72.30,12,69.90,13,62.70,42,68.60,3,100.00
2/12/2018 3:40,7,71.40,14,69.90,7,62.80,28,68.50,3,100.00
2/12/2018 3:45,12,71.90,11,69.70,7,62.70,30,68.90,3,100.00
2/12/2018 3:50,9,72.20,18,68.70,11,62.60,38,67.80,3,100.00
2/12/2018 3:55,15,72.60,12,69.20,9,62.40,36,68.90,3,100.00
2/12/2018 4:00,7,72.10,16,69.30,13,62.50,36,67.40,3,100.00
2/12/2018 4:05,9,71.40,24,69.60,19,62.30,52,67.20,3,100.00
2/12/2018 4:10,8,71.90,25,68.20,20,62.70,53,66.70,3,100.00
2/12/2018 4:15,6,72.00,24,68.00,10,62.90,40,67.30,3,100.00
2/12/2018 4:20,13,71.70,30,69.10,33,63.40,76,67.10,3,100.00
2/12/2018 4:25,15,71.40,25,68.30,25,63.80,65,67.30,3,100.00
2/12/2018 4:30,19,71.90,27,69.40,28,63.80,74,67.90,3,100.00
2/12/2018 4:35,18,70.20,32,69.00,23,63.80,73,67.70,3,100.00
2/12/2018 4:40,18,71.60,43,70.20,47,63.90,108,67.70,3,100.00
2/12/2018 4:45,14,72.00,49,70.60,43,64.60,106,68.40,3,100.00
