5 Minutes,Lane 1 Flow (Veh/5 Minutes),Lane 1 Speed (mph),Lane 2 Flow (Veh/5 Minutes),Lane 2 Speed (mph),Lane 3 Flow (Veh/5 Minutes),Lane 3 Speed (mph),Lane 4 Flow (Veh/5 Minutes),Lane 4 Speed (mph),Lane 5 Flow (Veh/5 Minutes),Lane 5 Speed (mph),Flow (Veh/5 Minutes),Speed (mph),# Lane Points,% Observed
12/25/2017 0:00,16,76.50,11,69.00,29,61.00,13,69.20,13,64.50,82,67.00,5,60.00
12/25/2017 0:05,13,76.70,9,69.00,28,61.00,11,69.20,11,64.40,72,66.60,5,60.00
12/25/2017 0:10,17,76.70,9,69.00,27,61.00,10,69.20,10,64.40,73,67.20,5,60.00
12/25/2017 0:15,17,76.60,9,69.00,28,61.00,15,68.70,15,64.40,84,67.00,5,60.00
12/25/2017 0:20,16,76.50,9,69.00,28,61.00,11,69.10,11,64.40,75,67.00,5,60.00
12/25/2017 0:25,7,76.40,9,69.00,25,61.00,8,68.80,8,64.50,57,65.80,5,60.00
12/25/2017 0:30,20,76.30,10,69.00,26,61.00,8,68.90,9,64.60,73,67.60,5,60.00
12/25/2017 0:35,24,76.30,9,69.00,28,61.00,11,69.10,11,64.50,83,67.80,5,60.00
12/25/2017 0:40,15,76.60,9,69.00,25,61.00,8,69.30,8,64.50,65,67.20,5,60.00
12/25/2017 0:45,14,76.60,9,69.00,28,61.00,11,68.90,11,64.40,73,66.70,5,60.00
12/25/2017 0:50,21,76.80,9,69.00,28,61.00,11,69.00,11,64.40,80,67.60,5,60.00
12/25/2017 0:55,14,76.90,9,69.00,27,61.00,10,69.20,10,64.50,70,66.90,5,60.00
12/25/2017 1:00,10,76.70,9,69.00,28,61.00,12,69.20,12,64.40,71,66.20,5,60.00
12/25/2017 1:05,10,76.80,9,69.00,27,61.00,10,68.90,10,64.40,66,66.20,5,60.00
12/25/2017 1:10,5,76.70,9,69.00,28,61.00,14,69.00,12,64.40,68,65.50,5,60.00
12/25/2017 1:15,18,76.50,9,69.00,28,61.00,13,69.10,13,64.40,81,67.20,5,60.00
12/25/2017 1:20,15,76.50,9,69.00,26,61.00,9,69.00,9,64.40,68,67.00,5,60.00
12/25/2017 1:25,16,76.70,9,69.00,23,61.00,6,69.20,6,64.40,60,67.60,5,60.00
12/25/2017 1:30,10,76.60,8,69.00,22,61.00,4,69.20,4,64.40,48,66.60,5,60.00
12/25/2017 1:35,10,76.50,9,69.00,28,61.00,11,69.20,11,64.40,69,66.10,5,60.00
12/25/2017 1:40,10,76.70,9,69.00,27,61.00,10,69.20,10,64.40,66,66.20,5,60.00
12/25/2017 1:45,9,76.60,9,69.00,28,61.00,13,69.20,13,64.40,72,66.10,5,60.00
12/25/2017 1:50,13,76.50,12,68.90,27,60.90,10,69.10,10,64.40,72,66.70,5,60.00
12/25/2017 1:55,8,76.60,9,68.90,23,60.90,6,69.20,6,64.40,52,66.10,5,60.00
12/25/2017 2:00,10,77.00,9,68.90,27,60.90,10,69.30,10,64.40,66,66.30,5,60.00
12/25/2017 2:05,6,77.00,9,68.90,28,60.90,13,69.10,13,64.40,69,65.60,5,60.00
12/25/2017 2:10,8,77.10,9,68.90,27,60.90,10,69.40,10,64.40,64,66.00,5,60.00
12/25/2017 2:15,11,77.10,9,68.90,25,60.90,8,69.50,8,64.40,61,66.60,5,60.00
12/25/2017 2:20,6,77.00,9,68.90,26,60.90,9,69.50,9,64.40,59,65.60,5,60.00
12/25/2017 2:25,4,77.10,9,68.90,26,60.90,9,69.20,9,64.40,57,65.20,5,60.00
